# 分类,频道，清晰度,来源,地址[,排序]

卫视,广西卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/gxtv.m3u8
卫视,河北卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/hebtv.m3u8
卫视,西藏卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/xztv.m3u8
卫视,内蒙古卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/nmtv.m3u8
卫视,青海卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
卫视,四川卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/sctv.m3u8
卫视,天津卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
卫视,山西卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
卫视,辽宁卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/lntv.m3u8
卫视,厦门卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/xmtv.m3u8
卫视,新疆卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
卫视,黑龙江卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/hljtv.m3u8
卫视,云南卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/yntv.m3u8
卫视,江西卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
卫视,东南卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/dntv.m3u8
卫视,贵州卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/gztv.m3u8
卫视,宁夏卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/nxtv.m3u8
卫视,甘肃卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/gstv.m3u8
卫视,重庆卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/cqtv.m3u8
卫视,海南卫视,标清,北邮,http://ivi.bupt.edu.cn/hls/lytv.m3u8
卫视,CETV-1,标清,北邮,http://ivi.bupt.edu.cn/hls/cetv1.m3u8
卫视,CETV-3,标清,北邮,http://ivi.bupt.edu.cn/hls/cetv3.m3u8
卫视,CETV-4,标清,北邮,http://ivi.bupt.edu.cn/hls/cetv4.m3u8

浙江,杭州-1综合,标清,华数,http://125.210.152.18:9090/live/HZZH.m3u8
浙江,杭州-2明珠,标清,华数,http://125.210.152.18:9090/live/XHMZ.m3u8
浙江,杭州-3生活,标清,华数,http://125.210.152.18:9090/live/HZSH.m3u8
浙江,杭州-4影视,标清,华数,http://125.210.152.18:9090/live/HZYS.m3u8
浙江,杭州-5少儿,标清,华数,http://125.210.152.18:9090/live/HZSE.m3u8
浙江,杭州-6导视,标清,华数,http://125.210.152.18:9090/live/HZWH.m3u8
浙江,杭州-7房产,标清,华数,http://125.210.152.18:9090/live/HZFC.m3u8
浙江,浙江钱江频道,标清,华数,http://125.210.152.18:9090/live/QJPD.m3u8
浙江,浙江经视,标清,华数,http://125.210.152.18:9090/live/ZJJS.m3u8
浙江,浙江教育科技,标清,华数,http://125.210.152.18:9090/live/ZJJYKJ.m3u8
浙江,浙江影视娱乐,标清,华数,http://125.210.152.18:9090/live/ZJYSYL.m3u8
浙江,浙江民生休闲,标清,华数,http://125.210.152.18:9090/live/ZJMS.m3u8
浙江,浙江公共新闻,标清,华数,http://125.210.152.18:9090/live/ZJGG.m3u8
浙江,浙江少儿,标清,华数,http://125.210.152.18:9090/live/ZJSE.m3u8
